iter	Passed	Remaining
0	1	114
1	2	122
2	3	115
3	4	107
4	5	103
5	6	99
6	7	97
7	8	98
8	9	97
9	10	95
10	11	95
11	12	94
12	14	93
13	15	92
14	15	89
15	16	87
16	17	85
17	18	83
18	19	81
19	20	81
20	21	80
21	22	78
22	23	77
23	24	77
24	25	76
25	26	74
26	27	73
27	27	71
28	28	70
29	29	69
30	30	67
31	31	67
32	32	65
33	33	65
34	34	64
35	35	62
36	36	61
37	37	60
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	50
47	46	50
48	47	48
49	48	48
50	48	47
51	49	46
52	50	44
53	51	44
54	52	43
55	53	42
56	55	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	84	13
86	85	12
87	86	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
